"issue","treated","accuracy","preference","republican","age","gov_exp"
"Needle Exchange",1,0.75,0.5,1,NA,6
"Needle Exchange",1,1,0.333,1,NA,10
"Needle Exchange",1,0.75,1,0,NA,5
"Needle Exchange",1,1,0.833,0,NA,20
"Needle Exchange",0,0.5,0.833,1,NA,24
"Needle Exchange",1,0.5,0.167,1,NA,17
"Needle Exchange",1,1,0.5,1,NA,6
"Needle Exchange",0,1,1,0,NA,30
"Needle Exchange",1,0.75,0.667,1,69,40
"Needle Exchange",0,0.75,0.5,NA,NA,12
"Needle Exchange",0,0.75,0.167,1,NA,25
"Needle Exchange",0,0.75,0.5,1,64,40
"Needle Exchange",1,0.5,0.333,0,71,20
"Needle Exchange",1,0.75,0.833,0,NA,6
"Needle Exchange",0,1,1,0,29,2
"Needle Exchange",1,1,1,1,NA,4
"Needle Exchange",1,1,1,0,26,1
"Needle Exchange",1,1,0.833,0,NA,20
"Needle Exchange",1,0.75,0.833,0,34,10
"Needle Exchange",0,0.75,0.5,1,34,1
"Needle Exchange",0,1,1,0,29,3
"Needle Exchange",1,1,1,0,NA,8
"Needle Exchange",1,0.25,0,1,46,3
"Needle Exchange",0,0.5,0,1,30,2
"Needle Exchange",1,0.75,1,0,57,10
"Needle Exchange",1,1,0.5,0,28,7
"Needle Exchange",0,0.75,1,0,29,5
"Needle Exchange",0,1,0.667,0,26,1
"Needle Exchange",1,0.25,0.333,0,29,5
"Needle Exchange",1,1,0.5,NA,NA,19
"Needle Exchange",1,1,0.833,1,35,5
"Needle Exchange",0,1,0.5,1,35,6
"Needle Exchange",0,1,0,1,55,8
"Needle Exchange",1,0.75,1,0,NA,18
"Needle Exchange",1,1,1,0,42,6
"Needle Exchange",0,1,0.833,0,40,15
"Needle Exchange",0,1,1,1,53,10
"Needle Exchange",0,1,0.833,1,58,21
"Needle Exchange",1,1,0.667,0,31,3
"Needle Exchange",1,0.75,0.833,0,35,4
"Needle Exchange",1,1,0.167,1,36,10
"Needle Exchange",0,0.75,0.5,1,33,5
"Needle Exchange",1,0.75,0.667,0,18,3
"Needle Exchange",0,0.75,0.667,0,27,5
"Needle Exchange",0,0.5,0.5,0,23,1
"Needle Exchange",1,1,0.833,0,62,11
"Needle Exchange",0,0.25,0.833,0,NA,16
"Needle Exchange",1,0,0.333,1,36,14
"Needle Exchange",1,0.75,0.833,1,71,31
"Needle Exchange",0,0.5,0.833,0,41,1.5
"Needle Exchange",1,0.75,0.5,0,28,1
"Needle Exchange",0,0.75,0.5,0,NA,17
"Needle Exchange",0,0.5,0.333,1,NA,4
"Needle Exchange",1,0.75,0.5,0,36,16
"Needle Exchange",1,1,0.833,0,47,3
"Needle Exchange",1,0,0.667,0,26,3
"Needle Exchange",0,1,1,0,NA,7
"Needle Exchange",1,0.5,0.833,0,NA,14
"Needle Exchange",1,1,1,0,36,11
"Needle Exchange",0,0,0.5,1,NA,27
"Needle Exchange",1,1,0.833,0,NA,14
"Needle Exchange",1,1,1,0,41,14
"Needle Exchange",0,1,1,0,28,6
"Needle Exchange",0,0.5,0.5,0,24,3
"Needle Exchange",0,0.25,0.333,1,NA,40
"Needle Exchange",1,0,0.5,1,64,10
"Needle Exchange",0,0.5,1,0,69,8
"Needle Exchange",0,0.75,1,1,NA,5
"Needle Exchange",1,1,1,0,62,8
"Needle Exchange",0,0.75,0.333,1,NA,14
"Needle Exchange",0,1,1,0,76,30
"Needle Exchange",0,0.75,0.5,0,58,9
"Needle Exchange",0,1,0.833,1,39,6
"Needle Exchange",1,1,1,0,NA,2
"Needle Exchange",0,0,0.167,1,NA,8
"Needle Exchange",1,0.75,0.833,1,64,18
"Needle Exchange",1,0.5,0.167,1,35,11
"Needle Exchange",1,1,0.833,0,NA,4
"Needle Exchange",1,0.75,1,0,NA,4
"Needle Exchange",0,0.75,0.667,0,70,40
